green eggs and ham |by*1|i*8|thank*1|would*1|
eggs and ham by |doctor*1|
and ham by doctor |seuss*1|
ham by doctor seuss |i*1|
by doctor seuss i |am*1|
doctor seuss i am |sam*1|
seuss i am sam |i*1|
i am sam i |am*1|
am sam i am |sam*1|
sam i am sam |sam*1|
i am sam sam |i*1|
am sam sam i |am*1|
sam sam i am |that*1|
sam i am that |samiam*1|
i am that samiam |that*1|
am that samiam that |samiam*1|
that samiam that samiam |i*1|
samiam that samiam i |do*1|
that samiam i do |not*1|
samiam i do not |like*1|
i do not like |green*5|that*1|them*24|themsamiam*1|
do not like that |samiam*1|
not like that samiam |do*1|
like that samiam do |would*1|
that samiam do would |you*1|
samiam do would you |like*1|
do would you like |green*1|
would you like green |eggs*1|
you like green eggs |and*1|
like green eggs and |ham*9|
eggs and ham i |do*9|
and ham i do |i*1|not*8|
ham i do not |like*8|
do not like themsamiam |i*1|
not like themsamiam i |do*1|
like themsamiam i do |not*1|
themsamiam i do not |like*1|
do not like green |eggs*6|
not like green eggs |and*6|
eggs and ham would |you*1|
and ham would you |like*1|
ham would you like |them*1|
would you like them |here*1|in*1|
you like them here |or*1|
like them here or |there*5|
them here or there |i*8|
here or there i |do*4|will*1|would*3|
or there i would |not*3|
there i would not |eat*1|like*2|
i would not like |them*2|
would not like them |anywhere*1|here*1|
not like them here |or*4|
not like them anywhere |i*4|you*1|
like them anywhere i |do*4|
them anywhere i do |not*5|so*1|
anywhere i do not |eat*1|like*4|
do not like them |anywhere*4|here*3|in*4|sam*1|samiam*7|so*1|with*5|
not like them samiam |a*1|could*1|say*1|would*3|you*1|
like them samiam would |you*3|
them samiam would you |could*1|eat*1|like*1|
samiam would you like |them*1|
you like them in |a*1|
like them in a |box*2|house*3|tree*1|
them in a house |and*1|i*4|would*1|
in a house would |you*1|
a house would you |like*1|
house would you like |then*1|
would you like then |with*1|
you like then with |a*1|
like then with a |mouse*1|
then with a mouse |i*1|
with a mouse i |do*4|would*1|
a mouse i do |not*4|
mouse i do not |like*4|
not like them in |a*4|
in a house i |do*3|will*1|
a house i do |not*3|
house i do not |like*3|
not like them with |a*5|
like them with a |fox*2|mouse*3|
them with a mouse |and*1|i*3|
or there i do |not*4|
there i do not |like*4|
samiam would you eat |them*1|
would you eat them |in*1|with*1|
you eat them in |a*1|
eat them in a |boat*1|box*2|house*3|
them in a box |and*1|i*2|would*1|
in a box would |you*1|
a box would you |eat*1|
box would you eat |them*1|
you eat them with |a*1|
